"","model","target","theta","lambda","rmse"
"213",43,3,6,0.05,0.106827510406846
"214",43,4,8,0.2,0.10849995451758
"215",43,5,8,0.1,0.086222581045771
"216",44,1,4,0,0.0536309634959105
"217",44,2,8,0.05,0.0664995828675903
"218",44,3,6,0,0.0469550127486559
"219",44,4,3,0.01,0.115674576456953
"220",44,5,8,0.1,0.100457102691816
"221",45,1,8,0.1,0.0508365229459194
"222",45,2,8,0.2,0.0645695752215631
"223",45,3,6,0,0.0721089997324923
"224",45,4,8,0.05,0.0893593094238267
"225",45,5,8,0.05,0.101457988878558
"226",46,1,8,0.1,0.0780696535182337
"227",46,2,8,0.1,0.0694370841790433
"228",46,3,8,0.01,0.0754503126081991
"229",46,4,6,0.01,0.0682019248569693
"230",46,5,8,0.05,0.120489395779308
"231",47,1,8,0.05,0.0561898849656686
"232",47,2,8,0.2,0.0821319887412527
"233",47,3,6,0,0.071981829394517
"234",47,4,8,0.05,0.0685437907598483
"235",47,5,8,0.05,0.0832365311043816
"236",48,1,8,0.1,0.0715634658850147
"237",48,2,8,0.1,0.0980450254965719
"238",48,3,8,0.01,0.0670977188985108
"239",48,4,8,0.1,0.0718314160175427
"240",48,5,8,0.05,0.074573618401096
"241",49,1,8,0.05,0.0646697100351303
"242",49,2,8,0.2,0.072823850929413
"243",49,3,8,0.05,0.0733051591271773
"244",49,4,8,0.05,0.0731333554541043
"245",49,5,8,0.01,0.0898680403127159
"246",50,1,8,0.05,0.0638465808133343
"247",50,2,8,0.2,0.0678355751714637
"248",50,3,4,0.01,0.100827300017431
"249",50,4,8,0.05,0.081426165499275
"250",50,5,8,0.1,0.0921269554404056
