"","model","target","theta","lambda","rmse"
"214",43,4,4,0.2,0.485773885229939
"215",43,5,8,0.1,0.442709616358258
"216",44,1,3,0.2,0.543240511522798
"217",44,2,8,5,0.499073204545713
"218",44,3,8,8,0.497148025382492
"219",44,4,8,8,0.466246839337026
"220",44,5,6,0.1,0.462457630080361
"221",45,1,8,8,0.56670340018906
"222",45,2,3,0.2,0.639787284541844
"223",45,3,4,0.5,0.703729475538875
"224",45,4,6,1,0.478355560986655
"225",45,5,8,8,0.48451120900758
"226",46,1,8,1,0.569720565552714
"227",46,2,6,8,0.652923641463732
"228",46,3,0.5,0.1,0.526962675273281
"229",46,4,8,8,0.466025261756414
"230",46,5,8,5,0.495244489842422
"231",47,1,3,0.2,0.715305853522809
"232",47,2,8,1,0.641032395241564
"233",47,3,8,8,0.625167885879617
"234",47,4,1,0.05,0.47228008405609
"235",47,5,4,0.2,0.537521678684908
"236",48,1,8,2,0.326253224007365
"237",48,2,0.5,0.05,0.568850388170904
"238",48,3,6,2,0.53774802363957
"239",48,4,6,0.5,0.404953335658044
"240",48,5,8,2,0.589528356765191
"241",49,1,2,0.1,0.484774931310675
"242",49,2,8,5,0.404775956784872
"243",49,3,8,0.05,0.439743943369716
"244",49,4,8,1,0.519637426105284
"245",49,5,6,1,0.577968140772389
"246",50,1,0,0.2,0.701667410580687
"247",50,2,8,5,0.444633554424344
"248",50,3,0,0.1,0.578220205538201
"249",50,4,3,0.1,0.407269500071102
"250",50,5,4,0.5,0.458887148521306
