"","model","target","theta","lambda","rmse"
"232",47,2,8,0.2,0.139647752033852
"233",47,3,4,0.05,0.154682852164158
"234",47,4,8,0.1,0.114146089358492
"235",47,5,8,0.2,0.154924498969872
"236",48,1,8,0.5,0.116230173409672
"237",48,2,8,0.2,0.0878057206466963
"238",48,3,8,0.2,0.132664995172347
"239",48,4,3,0.05,0.154832714048191
"240",48,5,8,0.5,0.207425680346268
"241",49,1,6,0.1,0.149982717749488
"242",49,2,8,0.5,0.217719684989066
"243",49,3,1,0,0.127905520408783
"244",49,4,8,0.5,0.233509403287928
"245",49,5,3,0.1,0.273871575433865
"246",50,1,8,0.2,0.160246358218457
"247",50,2,8,0,0.182745393890814
"248",50,3,0,0,0.120573378145146
"249",50,4,0,0,0.198419579530745
"250",50,5,0,0.01,0.35679378423348
